RTK number	Jisho meanings
378	test, try, attempt, experiment, ordeal
379	II, two, second
380	range, region, limits, stage, level
381	burglar, rebel, traitor, robber
382	plantation, planting
383	ride, board, get on, place, spread, 10**44, record, publish
384	overgrown, grow thick, be luxuriant
385	grieve, relatives
386	turn into, become, get, grow, elapse, reach
387	castle
388	sincerity, admonish, warn, prohibit, truth, fidelity
389	intimidate, dignity, majesty, menace, threaten
390	destroy, ruin, overthrow, perish
391	dwindle, decrease, reduce, decline, curtail, get hungry
392	ignore, despise, neglect, ridicule
393	scaffold, cleat, frame, jetty, bolt (door)
394	coin, .01 yen, money
395	shallow, superficial, frivolous, wretched, shameful
396	stop, halt
397	walk, counter for steps
398	ford, go cross, transit, ferry, import, involve
399	repeatedly, recur
400	agreement, consent, comply with
401	undertake, scheme, design, attempt, plan
402	curriculum, continuation, passage of time
403	warrior, military, chivalry, arms
404	levy, ode, prose, poem, tribute, installment
405	correct, justice, righteous, 10**40
406	evidence, proof, certificate
407	politics, government
408	determine, fix, establish, decide
409	lock, fetters, shackles
410	run
411	transcend, super-, ultra-
412	proceed, get, become, tend
413	surpass, cross over, move to, exceed, Vietnam
414	just so, this, right, justice
415	topic, subject
416	dike, bank, embankment
417	build
418	key
419	prolong, stretching
420	nativity, be born, declension, lie, be arbitrary
421	cornerstone, foundation stone
422	bridegroom, son-in-law
423	garment, clothes, dressing
424	tailor, judge, decision, cut out (pattern)
425	attire, dress, pretend, disguise, profess
426	back, amidst, in, reverse, inside, palm, sole, rear, lining, wrong side
427	demolition, break, destroy
428	pathetic, grief, sorrow, pathos, pity, sympathize
429	distant, far
430	monkey
431	first time, beginning
432	towel, hanging scroll, width, cloth radical (no. 50)
433	linen, cloth, spread, distribute
434	sail
435	hanging scroll, width
436	cap, headgear
437	curtain, bunting, act of play
438	canopy, awning, hood, curtain
439	brocade, fine dress, honors
440	market, city, town
441	persimmon
442	elder sister
443	lungs
444	sash, belt, obi, zone, region
445	stagnate, be delayed, overdue, arrears
446	thorn, pierce, stab, prick, sting, calling card
447	system, law, rule
448	made in..., manufacture
449	revolve, turn around, change
450	technique, art, craft, performance, acting, trick, stunt
451	rain
452	cloud
453	cloudy weather, cloud up
454	thunder, lightning bolt
455	frost
456	winter
457	heavens, sky, imperial
458	attractive, bewitching, calamity
459	fertility
460	bridge
461	attractive
462	stand up, rise, set up, erect
463	cry, weep, moan
464	badge, chapter, composition, poem, design
465	emulate, compete with, bid, sell at auction, bout, contest, race
466	sovereign, the emperor, god, creator
467	truth, clarity, abandon, give up
468	juvenile, child
469	pupil (of eye)
470	bell, gong, chimes
471	make a deal, selling, dealing in, merchant
472	legitimate wife, direct descent (non-bastard)
473	suitable, occasional, rare, qualified, capable
474	drip, drop
475	enemy, foe, opponent
476	spoon, spoon or katakana hi radical (no. 21)
477	scold, reprove
478	fragrant, stink, glow, insinuate, (kokuji)
479	time, about, toward
480	north
481	stature, height, back, behind, disobey, defy, go back on, rebel
482	compare, race, ratio, Philippines
483	descendants, elder brother, insect
484	all, everything
485	square character style, correctness
486	harmony
487	mix, blend, confuse
488	thirst, dry up, parch
489	audience, audience (with king)
490	brown, woollen kimono
491	hoarse, scold
492	arrowroot, kudzu
493	delicious, relish, show a liking for, purport, will, clever, expert
494	fat, grease, tallow, lard, rosin, gum, tar
495	visit a temple, arrive, attain
496	one (in documents)
497	every
498	cleverness, agile, alert
499	plum
500	sea, ocean
501	beg, invite, ask
502	drought, dry, dessicate, drink up, heaven, emperor
503	abdomen, belly, stomach
504	duplicate, double, compound, multiple
505	lack, gap, fail, yawning radical (no. 76)
506	blow, breathe, puff, emit, smoke
507	cook, boil
508	song, sing
509	soft
510	next, order, sequence
511	briar, thorn
512	assets, resources, capital, funds, data, be conducive to, contribute to
513	figure, form, shape
514	consult with
515	compensation, indemnify
516	cultivate, foster
517	divide
518	sound, noise
519	darkness, disappear, shade, informal, grow dark, be blinded
520	rhyme, elegance, tone
521	discriminating, know, write
522	mirror, speculum, barrel-head, round rice-cake offering
523	boundary, border, region
524	deceased, the late, dying, perish
525	blind, blind man, ignoramus
526	delusion, unnecessarily, without authority, reckless
527	laid waste, rough, rude, wild
528	ambition, full moon, hope, desire, aspire to, expect
529	direction, person, alternative
530	disturb, prevent, hamper, obstruct
531	boy, priest&#39;s residence, priest
532	perfume, balmy, favorable, fragrant
533	obese, fat
534	call on, visit, look up, offer sympathy
535	set free, release, fire, shoot, emit, banish, liberate
536	violent, get excited, enraged, chafe, incite
537	undress, removing, escape from, get rid of, be left out, take off
538	opinion, theory, explanation, rumor
539	pointed, sharpness, edge, weapon, sharp, violent
540	formerly, once, before, ever, never, ex-
541	increase, add, augment, gain, promote
542	presents, send, give to, award to, confer on, presenting something
543	east
544	ridgepole, ridge
545	frozen, congeal, refrigerate
546	pregnancy
547	courts, imperial court, government office
548	dye, color, paint, stain, print
549	burn, blaze, glow
550	V.I.P., guest
551	year-end, age, occasion, opportunity
552	prefecture
553	horse chestnut, (kokuji)
554	ground, earth
555	pond, cistern, pool, reservoir
556	insect, bug, temper
557	lightning-bug, firefly
558	snake, serpent, hard drinker
559	rainbow
560	butterfly
561	single, alone, spontaneously, Germany
562	silkworm
563	wind, air, style, manner
564	self
565	rouse, wake up, get up
566	queen, princess
567	reformation, change, modify, mend, renew, examine, inspect, search
568	scribe, account, narrative
569	wrap, pack up, cover, conceal
570	placenta, sac, sheath
571	cannon, gun
572	bubbles, foam, suds, froth
573	tortoise, turtle
574	electricity
575	dragon, imperial
576	waterfall, rapids, cascade
577	pork, pig
578	pursue, drive away, chase, accomplish, attain, commit
579	consummate, accomplish, attain, commit (suicide)
580	house, home, family, professional, expert, performer
581	marry into, bride
582	overpowering, great, powerful, excelling, Australia
583	intestines, guts, bowels, viscera
584	location, place
585	hot water, bath, hot spring
586	sheep
587	beauty, beautiful
588	ocean, sea, foreign, Western style
589	detailed, full, minute, accurate, well-informed
590	fresh, vivid, clear, brilliant, Korea
591	accomplished, reach, arrive, attain
592	envious, be jealous, covet
593	distinction, difference, variation, discrepancy, margin, balance
594	don, arrive, wear, counter for suits of clothing
595	solely, only, merely, simply
596	piled high
597	chinquapin, mallet, spine
598	who, someone, somebody
599	char, hurry, impatient, irritate, burn, scorch, singe
600	reef, sunken rock
601	gather, meet, congregate, swarm, flock
602	quasi-, semi-, associate
603	advance, proceed, progress, promote
604	miscellaneous
605	feminine, female
606	semi-, correspond to, proportionate to, conform, imitate
607	stirred up, be invigorated, flourish
608	rob, take by force, snatch away, dispossess, plunder, usurp
609	assurance, firm, tight, hard, solid, confirm, clear, evident
610	noon, sign of the horse, 11AM-1PM, seventh sign of Chinese zodiac
611	permit, approve
612	delight, joy
613	authority, power, rights
614	outlook, look, appearance, condition, view
615	feathers, counter for birds, rabbits
616	learn
617	the following, next
618	weekday
619	laundry, wash, pour on, rinse
620	say, reason, pretext, history, past, flat sun radical (no. 73)
621	quandary, become distressed, annoyed
622	harden, set, clot, curdle
623	confinement, to tie
624	country
625	group, association
626	cause, factor, be associated with, depend on, be limited to
627	matrimony, marry
628	throat, choked, smothered, stuffy
629	park, garden, yard, farm
630	-times, round, game, revolve, counter for occurrences
631	podium, stage, rostrum, terrace
632	store, shop
633	warehouse, storehouse
634	courtyard, garden, yard
635	government office
636	bed, counter for beds, floor, padding, tatami
637	hemp, flax, numb
638	grind, polish, scour, improve, brush (teeth)
639	heart, mind, spirit, heart radical (no. 61)
640	forget
641	selfish, arbitrary
642	endure, bear, put up with, conceal, secrete, spy, sneak
643	acknowledge, witness, discern, recognize, appreciate, believe
644	mourning, abhor, detestable, death anniversary
645	intention, plan, resolve, aspire, motive, hopes, shilling
646	document, records
647	wick
648	loyalty, fidelity, faithfulness
649	spit, skewer
650	afflicted, disease, suffer from, be ill
651	think
652	grace, kindness, goodness, favor, mercy, blessing, benefit
653	apply, answer, yes, OK, reply, accept
654	idea, mind, heart, taste, thought, desire, care, liking
655	timidity, heart, mind, fear, cowardly
656	concept, think, idea, thought
657	breath, respiration, son, interest (on money)
658	recess, rest, relax, repose
659	favor, blessing, grace, kindness
660	fear, dread, awe
661	beguile, delusion, perplexity
662	emotion, feeling, sensation
663	melancholy, grieve, lament, be anxious, sad, unhappy
664	widow, minority, few
665	busy, occupied, restless
666	ecstasy, joy, rapture
667	constancy, always
668	lament, grieve over
669	enlightenment, perceive, discern, realize, understand
670	dreadful, be frightened, fearful
671	disconcerted, be confused, lose one&#39;s head
672	repent, regret
673	hate, detest
674	accustomed, get used to, become experienced
675	pleasure, happy, rejoice
676	lazy, laziness
677	humility, be careful, discreet, prudent
678	remorse, regret, be sorry
679	recollection, think, remember
680	fear, be afraid of, dread
681	yearn after, long for, aspire to, admire, adore
682	yearn for, aspire to, admire
683	pining, yearn for, love dearly, adore
684	annexed, accompany, marry, suit, meet, satisfy, attach, append, garnish, imitate
685	invariably, certain, inevitable
686	ooze, flow, soak in, penetrate, secrete
687	hand
688	watch over, see
689	chafe, rub, polish, grind, scrape
690	ego, I, selfish, our, oneself
691	righteousness, justice, morality, honor, loyalty, meaning
692	deliberation, consultation, debate, consideration
693	sacrifice
694	rub, paint, erase
695	wipe, mop, swab
696	Latin, kidnap, crush
697	embrace, hug, hold in arms
698	board, load (a vehicle), ride
699	extract, selection, summary, copy, spread thin
700	confront, resist, defy, oppose
701	criticism, strike
702	beckon, invite, summon, engage
703	clear (the land), open, break up (land)
704	clap, beat (music)
705	strike, hit, knock, pound, dozen
